행정구역(시군구)별,2020. 07,2020. 07,2020. 07,2020. 08,2020. 08,2020. 08,2020. 09,2020. 09,2020. 09
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,51839852,25852796,25987056,51839953,25851388,25988565,51841786,25851003,25990783
서울특별시,9715429,4728872,4986557,9708247,4724585,4983662,9699232,4719170,4980062
부산광역시,3402776,1667613,1735163,3401072,1666462,1734610,3399749,1665554,1734195
대구광역시,2428022,1198621,1229401,2428228,1198662,1229566,2426849,1197914,1228935
인천광역시,2945565,1475837,1469728,2943491,1474620,1468871,2942553,1474105,1468448
광주광역시,1454709,719860,734849,1454154,719601,734553,1453952,719445,734507
대전광역시,1470225,734008,736217,1469431,733547,735884,1469099,733356,735743
울산광역시,1141362,586533,554829,1140310,585922,554388,1139368,585387,553981
세종특별자치시,346217,172660,173557,347232,173183,174049,348014,173613,174401
경기도,13351891,6717812,6634079,13370714,6727226,6643488,13388485,6736077,6652408
강원도,1540094,774913,765181,1540689,775113,765576,1541104,775324,765780
충청북도,1597936,809841,788095,1598162,810023,788139,1598536,810302,788234
충청남도,2120692,1081752,1038940,2120519,1081807,1038712,2120559,1082029,1038530
전라북도,1808044,898719,909325,1807094,898296,908798,1806441,898048,908393
전라남도,1853339,931280,922059,1851985,930466,921519,1851124,930076,921048
경상북도,2644001,1331461,1312540,2640932,1329919,1311013,2640003,1329408,1310595
경상남도,3347637,1685427,1662210,3345169,1684134,1661035,3343770,1683263,1660507
제주특별자치도,671913,337587,334326,672524,337822,334702,672948,337932,335016
