,x
1,1
2,2
3,1
4,4
5,3
6,3
7,NA
8,NA
9,NA
10,1
11,2
12,2
13,2
14,2
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,2
23,2
24,1
25,2
26,3
27,3
28,5
29,2
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,2
40,2
41,3
42,4
43,3
44,2
45,2
46,3
47,4
48,5
49,4
50,2
51,NA
52,2
53,3
54,4
55,3
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,3
64,3
65,3
66,3
67,2
68,2
69,3
70,3
71,NA
72,NA
73,NA
74,2
75,2
76,2
77,NA
78,2
79,2
80,3
81,NA
82,NA
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,1
91,4
92,NA
93,NA
94,NA
95,NA
96,4
97,3
98,3
99,4
100,NA
101,NA
102,NA
103,NA
104,3
105,3
106,2
107,NA
108,NA
109,3
110,NA
111,2
112,NA
113,2
114,2
115,5
116,2
117,NA
118,3
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,2
130,2
131,4
132,3
133,4
134,3
135,3
136,3
137,NA
138,NA
139,NA
140,2
141,2
142,2
143,2
144,2
145,1
146,2
147,NA
148,NA
149,NA
150,NA
151,NA
152,3
153,3
154,3
155,3
156,4
157,3
158,NA
159,4
160,2
161,2
162,2
163,2
164,2
165,NA
166,NA
167,NA
168,NA
169,3
170,3
171,2
172,NA
173,2
174,3
175,3
176,3
177,NA
178,NA
179,3
180,4
181,3
182,4
183,NA
184,NA
185,3
186,3
187,4
188,2
189,1
190,2
191,4
192,3
193,3
194,2
195,5
196,2
197,2
198,2
199,2
200,1
201,2
202,4
203,NA
204,2
205,2
206,1
207,1
208,1
209,2
210,2
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,2
222,3
223,4
224,5
225,3
226,3
227,4
228,NA
229,2
230,1
231,2
232,NA
233,1
234,2
235,2
236,1
237,2
238,2
239,NA
240,NA
241,3
242,4
243,5
244,3
245,NA
246,3
247,4
248,4
249,5
250,2
251,2
252,3
253,NA
254,NA
255,2
256,1
257,2
258,1
259,NA
260,NA
261,2
262,3
263,NA
264,3
265,4
266,3
267,4
268,3
269,4
270,NA
271,NA
272,NA
273,2
274,1
275,2
276,NA
277,NA
278,NA
279,NA
280,NA
281,1
282,1
283,2
284,2
285,NA
286,NA
287,NA
288,NA
289,NA
290,2
291,1
292,2
293,3
294,3
295,NA
296,NA
297,NA
298,NA
299,3
300,NA
