,x
1,문 대통령 우리 경제 확연한 성장세 내년 상반기 정상궤도 
2,文대통령 경제 확연한 성장세 내년 상반기 정상궤도 
3,文대통령 경제 심리 큰 폭 개선 내년 정상 궤도로 진입 
4, 합쳐야 산다 광주전남 행정통합 본격 논의 상생 이끌까
5,광주 전남 행정통합 첫발 공론화위원회 구성 등 6개항 합의
6,광주전남 시도 행정통합 첫 발 상호 윈윈 해법이 핵심
7,트럼프 자정 넘기며 유세 강행군 경합 주 5곳서 4년 더 
8,트럼프 대선 불복 때 설득할 수 있는 인물은 아베뿐 
9,대선 1 트럼프 격전지 추격 유세 바이든 되면 경제 자유낙하 
10,암호화폐 거래소 은행이 목줄 쥐었다
11,특금법 적용 대상 주요 가상자산사업자로 제한 다크코인은 취급 금지
12,가상자산사업자 선불카드 모바일 상품권 취급 금지
13, 올려도 사겠지 샤넬 가격 인상 가방 하나 1000만원 
14, 남북 접경 군사도발 지휘했던 北 군인들 일선서 퇴진 
15, 딸 납치했다 사기 전화 충주 새마을금고 직원이 피해 막아
16,탄자니아 대선결과 불복 시위 앞두고 야당 지도자 체포
17,556조 예산안 국회 공청회 3차 재난지원금 국가채무 참담 
18,국산의 20 밑도는 중국산 마스크 가격 구조조정 압력 커져
19,검사와 등돌리는 秋 검사 껴안는 尹 감찰 검란 분수령 될까
20,코로나 방역사범 700명 넘어 21명 구속해 505명 재판넘겨
21,바이오업체 유상증자 남발 주의보 하반기만 20여社 묻지마 자금조달
22,14년째 흉물 신림백화점 사업 재개 번번이 실패한 까닭
23,한빛5호기 전면가동 중단 원자로헤드 부실 공사 의혹 정밀조사
24, 5 18은 의거다 광주 고교생 작문집 39년 만에 공개
